match_key,match_id,n_players
2011-07-23|Iran|Maldives,1125676.0,22
2011-07-28|India|United Arab Emirates,1125697.0,22
2011-07-28|Kyrgyzstan|Uzbekistan,1125696.0,22
2011-07-28|Myanmar|Oman,1125689.0,22
2011-07-28|Hong Kong|Saudi Arabia,1125690.0,22
2011-07-28|Yemen|Iraq,1125694.0,22
2011-07-28|Philippines|Kuwait,1125688.0,22
2011-07-28|Vietnam|Qatar,1125693.0,22
2011-07-28|Maldives|Iran,1125691.0,22
2011-07-28|Palestine|Thailand,1125684.0,22
2011-07-28|Nepal|Jordan,1125698.0,22
2011-09-02|Iraq|Jordan,1135450.0,22
2011-09-02|Australia|Thailand,1135455.0,22
2011-09-02|Bahrain|Qatar,1135458.0,22
2011-09-02|Iran|Indonesia,1135457.0,22
2011-09-02|South Korea|Lebanon,1135451.0,22
2011-09-02|Oman|Saudi Arabia,1135456.0,22
2011-09-02|Japan|North Korea,1135453.0,22
2011-09-02|United Arab Emirates|Kuwait,1135452.0,22
2011-09-02|Tajikistan|Uzbekistan,1140481.0,22
2011-09-06|Indonesia|Bahrain,1135468.0,22
2011-09-06|Jordan|China,1135459.0,22
2011-09-06|Kuwait|South Korea,1135461.0,22
2011-09-06|Saudi Arabia|Australia,1135465.0,22
2011-09-06|Thailand|Oman,1135466.0,22
2011-09-06|Uzbekistan|Japan,1135463.0,22
2011-09-06|Singapore|Iraq,1135460.0,22
2011-09-06|Qatar|Iran,1135467.0,22
2011-10-11|Australia|Oman,1135487.0,22
2011-10-11|China|Iraq,1135481.0,22
2011-10-11|Indonesia|Qatar,1135490.0,22
2011-10-11|Iran|Bahrain,1135489.0,14
2011-10-11|South Korea|United Arab Emirates,1135483.0,21
2011-10-11|Lebanon|Kuwait,1135484.0,22
2011-10-11|North Korea|Uzbekistan,1135486.0,22
2011-10-11|Japan|Tajikistan,1140483.0,22
2011-10-11|Thailand|Saudi Arabia,1135488.0,22
2011-10-11|Singapore|Jordan,1135482.0,22
2011-11-11|Bahrain|Iran,1135500.0,22
2011-11-11|Kuwait|Lebanon,1135493.0,22
2011-11-11|Oman|Australia,1135498.0,22
2011-11-11|Qatar|Indonesia,1135499.0,22
2011-11-11|Saudi Arabia|Thailand,1135497.0,22
2011-11-11|Uzbekistan|North Korea,1135495.0,22
2011-11-11|Jordan|Singapore,1135491.0,22
2011-11-11|United Arab Emirates|South Korea,1135494.0,22
2011-11-11|Tajikistan|Japan,1140484.0,22
2011-11-11|Iraq|China,1135492.0,22
2011-11-15|Jordan|Iraq,1135513.0,22
2011-11-15|Indonesia|Iran,1135522.0,22
2011-11-15|North Korea|Japan,1135518.0,22
2011-11-15|Kuwait|United Arab Emirates,1135515.0,22
2011-11-15|Lebanon|South Korea,1135516.0,22
2011-11-15|Qatar|Bahrain,1135521.0,22
2011-11-15|Saudi Arabia|Oman,1135519.0,22
2011-11-15|Uzbekistan|Tajikistan,1140485.0,22
2011-11-15|Thailand|Australia,1135520.0,22
2012-02-29|China|Jordan,1135535.0,22
2012-02-29|Bahrain|Indonesia,1135544.0,22
2012-02-29|Australia|Saudi Arabia,1135541.0,22
2012-02-29|Iran|Qatar,1135543.0,22
2012-02-29|Iraq|Singapore,1135536.0,22
2012-02-29|South Korea|Kuwait,1135537.0,22
2012-02-29|Japan|Uzbekistan,1135539.0,22
2012-02-29|Oman|Thailand,1135542.0,22
2012-06-03|Lebanon|Qatar,1191717.0,22
2012-06-03|Jordan|Iraq,1191718.0,22
2012-06-03|Japan|Oman,1191719.0,22
2012-06-03|Uzbekistan|Iran,1191716.0,22
2012-06-08|Japan|Jordan,1191723.0,22
2012-06-08|Lebanon|Uzbekistan,1191721.0,22
2012-06-08|Qatar|South Korea,1191720.0,22
2012-06-08|Oman|Australia,1191722.0,22
2012-06-12|Australia|Japan,1191726.0,22
2012-06-12|Iran|Qatar,1191725.0,22
2012-06-12|Iraq|Oman,1191727.0,22
2012-06-12|South Korea|Lebanon,1191724.0,22
2012-09-11|Japan|Iraq,2261970.0,22
2012-09-11|Jordan|Australia,2261969.0,21
2012-09-11|Lebanon|Iran,2261967.0,22
2012-09-11|Uzbekistan|South Korea,2261968.0,22
2012-10-16|Iran|South Korea,2261972.0,22
2012-10-16|Iraq|Australia,2261984.0,22
2012-10-16|Qatar|Uzbekistan,2261971.0,22
2012-10-16|Oman|Jordan,2261983.0,22
2012-11-14|Iran|Uzbekistan,2261974.0,22
2012-11-14|Oman|Japan,2261985.0,22
2012-11-14|Qatar|Lebanon,2261973.0,22
2013-03-26|Australia|Oman,2261987.0,22
2013-03-26|Jordan|Japan,2261988.0,22
2013-03-26|South Korea|Qatar,2261975.0,22
2013-03-26|Uzbekistan|Lebanon,2261976.0,22
2013-06-04|Japan|Australia,2261989.0,22
2013-06-04|Lebanon|South Korea,2261977.0,22
2013-06-04|Oman|Iraq,2261990.0,22
2013-06-04|Qatar|Iran,2261978.0,22
2013-06-11|Iran|Lebanon,2261980.0,22
2013-06-11|Australia|Jordan,2261991.0,22
2013-06-11|South Korea|Uzbekistan,2261979.0,22
2013-06-11|Iraq|Japan,2261992.0,22
2013-06-18|Australia|Iraq,2261993.0,22
2013-06-18|Jordan|Oman,2261994.0,22
2013-06-18|South Korea|Iran,2261981.0,22
2013-06-18|Uzbekistan|Qatar,2261982.0,22
2013-09-06|Jordan|Uzbekistan,2367152.0,22
2013-09-10|Uzbekistan|Jordan,2367153.0,22
2011-11-11|Chad|Tanzania,1133997.0,22
2011-11-11|Seychelles|Kenya,1133986.0,22
2011-11-15|Kenya|Seychelles,1164933.0,22
2011-11-15|Tanzania|Chad,1164931.0,22
2012-06-01|Ghana|Lesotho,1167393.0,22
2012-06-01|Egypt|Mozambique,1167400.0,22
2012-06-02|Cameroon|DR Congo,1167403.0,22
2012-06-02|Algeria|Rwanda,1167401.0,22
2012-06-02|Côte d'Ivoire|Tanzania,1167391.0,22
2012-06-02|Gambia|Morocco,1167392.0,22
2012-06-02|Kenya|Malawi,1167398.0,22
2012-06-02|Sudan|Zambia,1167394.0,22
2012-06-02|Tunisia|Equatorial Guinea,1167389.0,22
2012-06-02|Senegal|Liberia,1167405.0,22
2012-06-02|Sierra Leone|Cabo Verde,1167390.0,22
2012-06-03|Benin|Mali,1167402.0,22
2012-06-03|Nigeria|Namibia,1167397.0,22
2012-06-03|Zimbabwe|Guinea,1167399.0,22
2012-06-03|South Africa|Ethiopia,1167387.0,22
2012-06-09|Botswana|South Africa,2212021.0,22
2012-06-09|Cabo Verde|Tunisia,2212026.0,22
2012-06-09|Malawi|Nigeria,2212020.0,22
2012-06-09|Morocco|Côte d'Ivoire,2212029.0,22
2012-06-09|Uganda|Senegal,2212025.0,22
2012-06-09|Namibia|Kenya,2212028.0,22
2012-06-09|Zambia|Ghana,2212022.0,22
2012-06-10|DR Congo|Togo,2212033.0,22
2012-06-10|Guinea|Egypt,2212037.0,22
2012-06-10|Libya|Cameroon,2212038.0,22
2012-06-10|Mali|Algeria,2212019.0,22
2012-06-10|Tanzania|Gambia,2212035.0,22
2012-06-10|Mozambique|Zimbabwe,2212031.0,22
2013-03-23|Cameroon|Togo,2258773.0,22
2013-03-23|Tunisia|Sierra Leone,2258759.0,22
2013-03-23|Nigeria|Kenya,2258766.0,22
2013-03-23|Senegal|Angola,2258775.0,22
2013-03-23|South Africa|Central African Republic,2258757.0,22
2013-03-23|Côte d'Ivoire|Gambia,2258760.0,22
2013-03-24|Ghana|Sudan,2258763.0,22
2013-03-24|DR Congo|Libya,2258772.0,18
2013-03-24|Equatorial Guinea|Cabo Verde,2258758.0,22
2013-03-24|Rwanda|Mali,2258771.0,22
2013-03-24|Tanzania|Morocco,2258761.0,22
2013-03-24|Lesotho|Zambia,2258762.0,22
2013-03-26|Algeria|Benin,2258770.0,22
2013-03-26|Egypt|Zimbabwe,2258769.0,22
2013-06-05|Kenya|Nigeria,2315524.0,22
2013-06-07|Sudan|Ghana,2315526.0,22
2013-06-07|Libya|DR Congo,2315525.0,22
2013-06-08|Central African Republic|South Africa,2315528.0,22
2013-06-08|Cabo Verde|Equatorial Guinea,2315534.0,22
2013-06-08|Gambia|Côte d'Ivoire,2315535.0,22
2013-06-08|Morocco|Tanzania,2315536.0,22
2013-06-08|Zambia|Lesotho,2315529.0,22
